"npi.sah.prop.mild","npi.nbc.prop.mild","start_date","b1","loss"
0.55,0.25,2020-02-04,0.34,630.884570225525
0.56,0.25,2020-02-04,0.34,600.221140243042
0.57,0.25,2020-02-04,0.34,570.534054882471
0.58,0.25,2020-02-04,0.34,541.79542807782
0.59,0.25,2020-02-04,0.34,513.978171328954
0.6,0.25,2020-02-04,0.34,487.05607967301
0.61,0.25,2020-02-04,0.34,461.003824788175
0.62,0.25,2020-02-04,0.34,435.797018275156
0.63,0.25,2020-02-04,0.34,411.412241537364
0.64,0.25,2020-02-04,0.34,387.827121988819
0.65,0.25,2020-02-04,0.34,365.020403594964
0.66,0.25,2020-02-04,0.34,342.972030500095
0.67,0.25,2020-02-04,0.34,321.663294867529
0.68,0.25,2020-02-04,0.34,301.076974150996
0.69,0.25,2020-02-04,0.34,281.197558981838
0.7,0.25,2020-02-04,0.34,262.011471003436
0.71,0.25,2020-02-04,0.34,243.507498096814
0.72,0.25,2020-02-04,0.34,225.677231115497
0.73,0.25,2020-02-04,0.34,208.515742844992
0.74,0.25,2020-02-04,0.34,192.022415619098
0.75,0.25,2020-02-04,0.34,176.221080561818
0.76,0.25,2020-02-04,0.34,161.266613483676
0.77,0.25,2020-02-04,0.34,147.307571355937
0.78,0.25,2020-02-04,0.34,134.386566148064
0.79,0.25,2020-02-04,0.34,122.480394520566
0.8,0.25,2020-02-04,0.34,111.548604834605
0.81,0.25,2020-02-04,0.34,101.559100879673
0.82,0.25,2020-02-04,0.34,92.4664988511846
0.83,0.25,2020-02-04,0.34,84.2213404777346
0.84,0.25,2020-02-04,0.34,76.7777727074374
0.85,0.25,2020-02-04,0.34,70.096297543189
0.86,0.25,2020-02-04,0.34,64.1457648595192
0.87,0.25,2020-02-04,0.34,58.9043594422119
0.88,0.25,2020-02-04,0.34,54.3572770078796
0.89,0.25,2020-02-04,0.34,50.4951115065257
0.9,0.25,2020-02-04,0.34,47.3099466796556
0.91,0.25,2020-02-04,0.34,44.7906566341869
0.92,0.25,2020-02-04,0.34,42.918145526753
0.93,0.25,2020-02-04,0.34,41.6610278681802
0.94,0.25,2020-02-04,0.34,40.9736624908241
0.95,0.25,2020-02-04,0.34,40.7979451894981
0.55,0.3,2020-02-04,0.34,630.884570225525
0.56,0.3,2020-02-04,0.34,600.221140243042
0.57,0.3,2020-02-04,0.34,570.534054882471
0.58,0.3,2020-02-04,0.34,541.79542807782
0.59,0.3,2020-02-04,0.34,513.978171328954
0.6,0.3,2020-02-04,0.34,487.05607967301
0.61,0.3,2020-02-04,0.34,461.003824788175
0.62,0.3,2020-02-04,0.34,435.797018275156
0.63,0.3,2020-02-04,0.34,411.412241537364
0.64,0.3,2020-02-04,0.34,387.827121988819
0.65,0.3,2020-02-04,0.34,365.020403594964
0.66,0.3,2020-02-04,0.34,342.972030500095
0.67,0.3,2020-02-04,0.34,321.663294867529
0.68,0.3,2020-02-04,0.34,301.076974150996
0.69,0.3,2020-02-04,0.34,281.197558981838
0.7,0.3,2020-02-04,0.34,262.011471003436
0.71,0.3,2020-02-04,0.34,243.507498096814
0.72,0.3,2020-02-04,0.34,225.677231115497
0.73,0.3,2020-02-04,0.34,208.515742844992
0.74,0.3,2020-02-04,0.34,192.022415619098
0.75,0.3,2020-02-04,0.34,176.221080561818
0.76,0.3,2020-02-04,0.34,161.266613483676
0.77,0.3,2020-02-04,0.34,147.307571355937
0.78,0.3,2020-02-04,0.34,134.386566148064
0.79,0.3,2020-02-04,0.34,122.480394520566
0.8,0.3,2020-02-04,0.34,111.548604834605
0.81,0.3,2020-02-04,0.34,101.559100879673
0.82,0.3,2020-02-04,0.34,92.4664988511846
0.83,0.3,2020-02-04,0.34,84.2213404777346
0.84,0.3,2020-02-04,0.34,76.7777727074374
0.85,0.3,2020-02-04,0.34,70.096297543189
0.86,0.3,2020-02-04,0.34,64.1457648595192
0.87,0.3,2020-02-04,0.34,58.9043594422119
0.88,0.3,2020-02-04,0.34,54.3572770078796
0.89,0.3,2020-02-04,0.34,50.4951115065257
0.9,0.3,2020-02-04,0.34,47.3099466796556
0.91,0.3,2020-02-04,0.34,44.7906566341869
0.92,0.3,2020-02-04,0.34,42.918145526753
0.93,0.3,2020-02-04,0.34,41.6610278681802
0.94,0.3,2020-02-04,0.34,40.9736624908241
0.95,0.3,2020-02-04,0.34,40.7979451894981
0.55,0.35,2020-02-04,0.34,630.884570225525
0.56,0.35,2020-02-04,0.34,600.221140243042
0.57,0.35,2020-02-04,0.34,570.534054882471
0.58,0.35,2020-02-04,0.34,541.79542807782
0.59,0.35,2020-02-04,0.34,513.978171328954
0.6,0.35,2020-02-04,0.34,487.05607967301
0.61,0.35,2020-02-04,0.34,461.003824788175
0.62,0.35,2020-02-04,0.34,435.797018275156
0.63,0.35,2020-02-04,0.34,411.412241537364
0.64,0.35,2020-02-04,0.34,387.827121988819
0.65,0.35,2020-02-04,0.34,365.020403594964
0.66,0.35,2020-02-04,0.34,342.972030500095
0.67,0.35,2020-02-04,0.34,321.663294867529
0.68,0.35,2020-02-04,0.34,301.076974150996
0.69,0.35,2020-02-04,0.34,281.197558981838
0.7,0.35,2020-02-04,0.34,262.011471003436
0.71,0.35,2020-02-04,0.34,243.507498096814
0.72,0.35,2020-02-04,0.34,225.677231115497
0.73,0.35,2020-02-04,0.34,208.515742844992
0.74,0.35,2020-02-04,0.34,192.022415619098
0.75,0.35,2020-02-04,0.34,176.221080561818
0.76,0.35,2020-02-04,0.34,161.266613483676
0.77,0.35,2020-02-04,0.34,147.307571355937
0.78,0.35,2020-02-04,0.34,134.386566148064
0.79,0.35,2020-02-04,0.34,122.480394520566
0.8,0.35,2020-02-04,0.34,111.548604834605
0.81,0.35,2020-02-04,0.34,101.559100879673
0.82,0.35,2020-02-04,0.34,92.4664988511846
0.83,0.35,2020-02-04,0.34,84.2213404777346
0.84,0.35,2020-02-04,0.34,76.7777727074374
0.85,0.35,2020-02-04,0.34,70.096297543189
0.86,0.35,2020-02-04,0.34,64.1457648595192
0.87,0.35,2020-02-04,0.34,58.9043594422119
0.88,0.35,2020-02-04,0.34,54.3572770078796
0.89,0.35,2020-02-04,0.34,50.4951115065257
0.9,0.35,2020-02-04,0.34,47.3099466796556
0.91,0.35,2020-02-04,0.34,44.7906566341869
0.92,0.35,2020-02-04,0.34,42.918145526753
0.93,0.35,2020-02-04,0.34,41.6610278681802
0.94,0.35,2020-02-04,0.34,40.9736624908241
0.95,0.35,2020-02-04,0.34,40.7979451894981
0.55,0.4,2020-02-04,0.34,630.884570225525
0.56,0.4,2020-02-04,0.34,600.221140243042
0.57,0.4,2020-02-04,0.34,570.534054882471
0.58,0.4,2020-02-04,0.34,541.79542807782
0.59,0.4,2020-02-04,0.34,513.978171328954
0.6,0.4,2020-02-04,0.34,487.05607967301
0.61,0.4,2020-02-04,0.34,461.003824788175
0.62,0.4,2020-02-04,0.34,435.797018275156
0.63,0.4,2020-02-04,0.34,411.412241537364
0.64,0.4,2020-02-04,0.34,387.827121988819
0.65,0.4,2020-02-04,0.34,365.020403594964
0.66,0.4,2020-02-04,0.34,342.972030500095
0.67,0.4,2020-02-04,0.34,321.663294867529
0.68,0.4,2020-02-04,0.34,301.076974150996
0.69,0.4,2020-02-04,0.34,281.197558981838
0.7,0.4,2020-02-04,0.34,262.011471003436
0.71,0.4,2020-02-04,0.34,243.507498096814
0.72,0.4,2020-02-04,0.34,225.677231115497
0.73,0.4,2020-02-04,0.34,208.515742844992
0.74,0.4,2020-02-04,0.34,192.022415619098
0.75,0.4,2020-02-04,0.34,176.221080561818
0.76,0.4,2020-02-04,0.34,161.266613483676
0.77,0.4,2020-02-04,0.34,147.307571355937
0.78,0.4,2020-02-04,0.34,134.386566148064
0.79,0.4,2020-02-04,0.34,122.480394520566
0.8,0.4,2020-02-04,0.34,111.548604834605
0.81,0.4,2020-02-04,0.34,101.559100879673
0.82,0.4,2020-02-04,0.34,92.4664988511846
0.83,0.4,2020-02-04,0.34,84.2213404777346
0.84,0.4,2020-02-04,0.34,76.7777727074374
0.85,0.4,2020-02-04,0.34,70.096297543189
0.86,0.4,2020-02-04,0.34,64.1457648595192
0.87,0.4,2020-02-04,0.34,58.9043594422119
0.88,0.4,2020-02-04,0.34,54.3572770078796
0.89,0.4,2020-02-04,0.34,50.4951115065257
0.9,0.4,2020-02-04,0.34,47.3099466796556
0.91,0.4,2020-02-04,0.34,44.7906566341869
0.92,0.4,2020-02-04,0.34,42.918145526753
0.93,0.4,2020-02-04,0.34,41.6610278681802
0.94,0.4,2020-02-04,0.34,40.9736624908241
0.95,0.4,2020-02-04,0.34,40.7979451894981
0.55,0.45,2020-02-04,0.34,630.884570225525
0.56,0.45,2020-02-04,0.34,600.221140243042
0.57,0.45,2020-02-04,0.34,570.534054882471
0.58,0.45,2020-02-04,0.34,541.79542807782
0.59,0.45,2020-02-04,0.34,513.978171328954
0.6,0.45,2020-02-04,0.34,487.05607967301
0.61,0.45,2020-02-04,0.34,461.003824788175
0.62,0.45,2020-02-04,0.34,435.797018275156
0.63,0.45,2020-02-04,0.34,411.412241537364
0.64,0.45,2020-02-04,0.34,387.827121988819
0.65,0.45,2020-02-04,0.34,365.020403594964
0.66,0.45,2020-02-04,0.34,342.972030500095
0.67,0.45,2020-02-04,0.34,321.663294867529
0.68,0.45,2020-02-04,0.34,301.076974150996
0.69,0.45,2020-02-04,0.34,281.197558981838
0.7,0.45,2020-02-04,0.34,262.011471003436
0.71,0.45,2020-02-04,0.34,243.507498096814
0.72,0.45,2020-02-04,0.34,225.677231115497
0.73,0.45,2020-02-04,0.34,208.515742844992
0.74,0.45,2020-02-04,0.34,192.022415619098
0.75,0.45,2020-02-04,0.34,176.221080561818
0.76,0.45,2020-02-04,0.34,161.266613483676
0.77,0.45,2020-02-04,0.34,147.307571355937
0.78,0.45,2020-02-04,0.34,134.386566148064
0.79,0.45,2020-02-04,0.34,122.480394520566
0.8,0.45,2020-02-04,0.34,111.548604834605
0.81,0.45,2020-02-04,0.34,101.559100879673
0.82,0.45,2020-02-04,0.34,92.4664988511846
0.83,0.45,2020-02-04,0.34,84.2213404777346
0.84,0.45,2020-02-04,0.34,76.7777727074374
0.85,0.45,2020-02-04,0.34,70.096297543189
0.86,0.45,2020-02-04,0.34,64.1457648595192
0.87,0.45,2020-02-04,0.34,58.9043594422119
0.88,0.45,2020-02-04,0.34,54.3572770078796
0.89,0.45,2020-02-04,0.34,50.4951115065257
0.9,0.45,2020-02-04,0.34,47.3099466796556
0.91,0.45,2020-02-04,0.34,44.7906566341869
0.92,0.45,2020-02-04,0.34,42.918145526753
0.93,0.45,2020-02-04,0.34,41.6610278681802
0.94,0.45,2020-02-04,0.34,40.9736624908241
0.95,0.45,2020-02-04,0.34,40.7979451894981
0.55,0.5,2020-02-04,0.34,630.884570225525
0.56,0.5,2020-02-04,0.34,600.221140243042
0.57,0.5,2020-02-04,0.34,570.534054882471
0.58,0.5,2020-02-04,0.34,541.79542807782
0.59,0.5,2020-02-04,0.34,513.978171328954
0.6,0.5,2020-02-04,0.34,487.05607967301
0.61,0.5,2020-02-04,0.34,461.003824788175
0.62,0.5,2020-02-04,0.34,435.797018275156
0.63,0.5,2020-02-04,0.34,411.412241537364
0.64,0.5,2020-02-04,0.34,387.827121988819
0.65,0.5,2020-02-04,0.34,365.020403594964
0.66,0.5,2020-02-04,0.34,342.972030500095
0.67,0.5,2020-02-04,0.34,321.663294867529
0.68,0.5,2020-02-04,0.34,301.076974150996
0.69,0.5,2020-02-04,0.34,281.197558981838
0.7,0.5,2020-02-04,0.34,262.011471003436
0.71,0.5,2020-02-04,0.34,243.507498096814
0.72,0.5,2020-02-04,0.34,225.677231115497
0.73,0.5,2020-02-04,0.34,208.515742844992
0.74,0.5,2020-02-04,0.34,192.022415619098
0.75,0.5,2020-02-04,0.34,176.221080561818
0.76,0.5,2020-02-04,0.34,161.266613483676
0.77,0.5,2020-02-04,0.34,147.307571355937
0.78,0.5,2020-02-04,0.34,134.386566148064
0.79,0.5,2020-02-04,0.34,122.480394520566
0.8,0.5,2020-02-04,0.34,111.548604834605
0.81,0.5,2020-02-04,0.34,101.559100879673
0.82,0.5,2020-02-04,0.34,92.4664988511846
0.83,0.5,2020-02-04,0.34,84.2213404777346
0.84,0.5,2020-02-04,0.34,76.7777727074374
0.85,0.5,2020-02-04,0.34,70.096297543189
0.86,0.5,2020-02-04,0.34,64.1457648595192
0.87,0.5,2020-02-04,0.34,58.9043594422119
0.88,0.5,2020-02-04,0.34,54.3572770078796
0.89,0.5,2020-02-04,0.34,50.4951115065257
0.9,0.5,2020-02-04,0.34,47.3099466796556
0.91,0.5,2020-02-04,0.34,44.7906566341869
0.92,0.5,2020-02-04,0.34,42.918145526753
0.93,0.5,2020-02-04,0.34,41.6610278681802
0.94,0.5,2020-02-04,0.34,40.9736624908241
0.95,0.5,2020-02-04,0.34,40.7979451894981
0.55,0.55,2020-02-04,0.34,630.884570225525
0.56,0.55,2020-02-04,0.34,600.221140243042
0.57,0.55,2020-02-04,0.34,570.534054882471
0.58,0.55,2020-02-04,0.34,541.79542807782
0.59,0.55,2020-02-04,0.34,513.978171328954
0.6,0.55,2020-02-04,0.34,487.05607967301
0.61,0.55,2020-02-04,0.34,461.003824788175
0.62,0.55,2020-02-04,0.34,435.797018275156
0.63,0.55,2020-02-04,0.34,411.412241537364
0.64,0.55,2020-02-04,0.34,387.827121988819
0.65,0.55,2020-02-04,0.34,365.020403594964
0.66,0.55,2020-02-04,0.34,342.972030500095
0.67,0.55,2020-02-04,0.34,321.663294867529
0.68,0.55,2020-02-04,0.34,301.076974150996
0.69,0.55,2020-02-04,0.34,281.197558981838
0.7,0.55,2020-02-04,0.34,262.011471003436
0.71,0.55,2020-02-04,0.34,243.507498096814
0.72,0.55,2020-02-04,0.34,225.677231115497
0.73,0.55,2020-02-04,0.34,208.515742844992
0.74,0.55,2020-02-04,0.34,192.022415619098
0.75,0.55,2020-02-04,0.34,176.221080561818
0.76,0.55,2020-02-04,0.34,161.266613483676
0.77,0.55,2020-02-04,0.34,147.307571355937
0.78,0.55,2020-02-04,0.34,134.386566148064
0.79,0.55,2020-02-04,0.34,122.480394520566
0.8,0.55,2020-02-04,0.34,111.548604834605
0.81,0.55,2020-02-04,0.34,101.559100879673
0.82,0.55,2020-02-04,0.34,92.4664988511846
0.83,0.55,2020-02-04,0.34,84.2213404777346
0.84,0.55,2020-02-04,0.34,76.7777727074374
0.85,0.55,2020-02-04,0.34,70.096297543189
0.86,0.55,2020-02-04,0.34,64.1457648595192
0.87,0.55,2020-02-04,0.34,58.9043594422119
0.88,0.55,2020-02-04,0.34,54.3572770078796
0.89,0.55,2020-02-04,0.34,50.4951115065257
0.9,0.55,2020-02-04,0.34,47.3099466796556
0.91,0.55,2020-02-04,0.34,44.7906566341869
0.92,0.55,2020-02-04,0.34,42.918145526753
0.93,0.55,2020-02-04,0.34,41.6610278681802
0.94,0.55,2020-02-04,0.34,40.9736624908241
0.95,0.55,2020-02-04,0.34,40.7979451894981
0.55,0.6,2020-02-04,0.34,630.884570225525
0.56,0.6,2020-02-04,0.34,600.221140243042
0.57,0.6,2020-02-04,0.34,570.534054882471
0.58,0.6,2020-02-04,0.34,541.79542807782
0.59,0.6,2020-02-04,0.34,513.978171328954
0.6,0.6,2020-02-04,0.34,487.05607967301
0.61,0.6,2020-02-04,0.34,461.003824788175
0.62,0.6,2020-02-04,0.34,435.797018275156
0.63,0.6,2020-02-04,0.34,411.412241537364
0.64,0.6,2020-02-04,0.34,387.827121988819
0.65,0.6,2020-02-04,0.34,365.020403594964
0.66,0.6,2020-02-04,0.34,342.972030500095
0.67,0.6,2020-02-04,0.34,321.663294867529
0.68,0.6,2020-02-04,0.34,301.076974150996
0.69,0.6,2020-02-04,0.34,281.197558981838
0.7,0.6,2020-02-04,0.34,262.011471003436
0.71,0.6,2020-02-04,0.34,243.507498096814
0.72,0.6,2020-02-04,0.34,225.677231115497
0.73,0.6,2020-02-04,0.34,208.515742844992
0.74,0.6,2020-02-04,0.34,192.022415619098
0.75,0.6,2020-02-04,0.34,176.221080561818
0.76,0.6,2020-02-04,0.34,161.266613483676
0.77,0.6,2020-02-04,0.34,147.307571355937
0.78,0.6,2020-02-04,0.34,134.386566148064
0.79,0.6,2020-02-04,0.34,122.480394520566
0.8,0.6,2020-02-04,0.34,111.548604834605
0.81,0.6,2020-02-04,0.34,101.559100879673
0.82,0.6,2020-02-04,0.34,92.4664988511846
0.83,0.6,2020-02-04,0.34,84.2213404777346
0.84,0.6,2020-02-04,0.34,76.7777727074374
0.85,0.6,2020-02-04,0.34,70.096297543189
0.86,0.6,2020-02-04,0.34,64.1457648595192
0.87,0.6,2020-02-04,0.34,58.9043594422119
0.88,0.6,2020-02-04,0.34,54.3572770078796
0.89,0.6,2020-02-04,0.34,50.4951115065257
0.9,0.6,2020-02-04,0.34,47.3099466796556
0.91,0.6,2020-02-04,0.34,44.7906566341869
0.92,0.6,2020-02-04,0.34,42.918145526753
0.93,0.6,2020-02-04,0.34,41.6610278681802
0.94,0.6,2020-02-04,0.34,40.9736624908241
0.95,0.6,2020-02-04,0.34,40.7979451894981
0.55,0.65,2020-02-04,0.34,630.884570225525
0.56,0.65,2020-02-04,0.34,600.221140243042
0.57,0.65,2020-02-04,0.34,570.534054882471
0.58,0.65,2020-02-04,0.34,541.79542807782
0.59,0.65,2020-02-04,0.34,513.978171328954
0.6,0.65,2020-02-04,0.34,487.05607967301
0.61,0.65,2020-02-04,0.34,461.003824788175
0.62,0.65,2020-02-04,0.34,435.797018275156
0.63,0.65,2020-02-04,0.34,411.412241537364
0.64,0.65,2020-02-04,0.34,387.827121988819
0.65,0.65,2020-02-04,0.34,365.020403594964
0.66,0.65,2020-02-04,0.34,342.972030500095
0.67,0.65,2020-02-04,0.34,321.663294867529
0.68,0.65,2020-02-04,0.34,301.076974150996
0.69,0.65,2020-02-04,0.34,281.197558981838
0.7,0.65,2020-02-04,0.34,262.011471003436
0.71,0.65,2020-02-04,0.34,243.507498096814
0.72,0.65,2020-02-04,0.34,225.677231115497
0.73,0.65,2020-02-04,0.34,208.515742844992
0.74,0.65,2020-02-04,0.34,192.022415619098
0.75,0.65,2020-02-04,0.34,176.221080561818
0.76,0.65,2020-02-04,0.34,161.266613483676
0.77,0.65,2020-02-04,0.34,147.307571355937
0.78,0.65,2020-02-04,0.34,134.386566148064
0.79,0.65,2020-02-04,0.34,122.480394520566
0.8,0.65,2020-02-04,0.34,111.548604834605
0.81,0.65,2020-02-04,0.34,101.559100879673
0.82,0.65,2020-02-04,0.34,92.4664988511846
0.83,0.65,2020-02-04,0.34,84.2213404777346
0.84,0.65,2020-02-04,0.34,76.7777727074374
0.85,0.65,2020-02-04,0.34,70.096297543189
0.86,0.65,2020-02-04,0.34,64.1457648595192
0.87,0.65,2020-02-04,0.34,58.9043594422119
0.88,0.65,2020-02-04,0.34,54.3572770078796
0.89,0.65,2020-02-04,0.34,50.4951115065257
0.9,0.65,2020-02-04,0.34,47.3099466796556
0.91,0.65,2020-02-04,0.34,44.7906566341869
0.92,0.65,2020-02-04,0.34,42.918145526753
0.93,0.65,2020-02-04,0.34,41.6610278681802
0.94,0.65,2020-02-04,0.34,40.9736624908241
0.95,0.65,2020-02-04,0.34,40.7979451894981
0.55,0.7,2020-02-04,0.34,630.884570225525
0.56,0.7,2020-02-04,0.34,600.221140243042
0.57,0.7,2020-02-04,0.34,570.534054882471
0.58,0.7,2020-02-04,0.34,541.79542807782
0.59,0.7,2020-02-04,0.34,513.978171328954
0.6,0.7,2020-02-04,0.34,487.05607967301
0.61,0.7,2020-02-04,0.34,461.003824788175
0.62,0.7,2020-02-04,0.34,435.797018275156
0.63,0.7,2020-02-04,0.34,411.412241537364
0.64,0.7,2020-02-04,0.34,387.827121988819
0.65,0.7,2020-02-04,0.34,365.020403594964
0.66,0.7,2020-02-04,0.34,342.972030500095
0.67,0.7,2020-02-04,0.34,321.663294867529
0.68,0.7,2020-02-04,0.34,301.076974150996
0.69,0.7,2020-02-04,0.34,281.197558981838
0.7,0.7,2020-02-04,0.34,262.011471003436
0.71,0.7,2020-02-04,0.34,243.507498096814
0.72,0.7,2020-02-04,0.34,225.677231115497
0.73,0.7,2020-02-04,0.34,208.515742844992
0.74,0.7,2020-02-04,0.34,192.022415619098
0.75,0.7,2020-02-04,0.34,176.221080561818
0.76,0.7,2020-02-04,0.34,161.266613483676
0.77,0.7,2020-02-04,0.34,147.307571355937
0.78,0.7,2020-02-04,0.34,134.386566148064
0.79,0.7,2020-02-04,0.34,122.480394520566
0.8,0.7,2020-02-04,0.34,111.548604834605
0.81,0.7,2020-02-04,0.34,101.559100879673
0.82,0.7,2020-02-04,0.34,92.4664988511846
0.83,0.7,2020-02-04,0.34,84.2213404777346
0.84,0.7,2020-02-04,0.34,76.7777727074374
0.85,0.7,2020-02-04,0.34,70.096297543189
0.86,0.7,2020-02-04,0.34,64.1457648595192
0.87,0.7,2020-02-04,0.34,58.9043594422119
0.88,0.7,2020-02-04,0.34,54.3572770078796
0.89,0.7,2020-02-04,0.34,50.4951115065257
0.9,0.7,2020-02-04,0.34,47.3099466796556
0.91,0.7,2020-02-04,0.34,44.7906566341869
0.92,0.7,2020-02-04,0.34,42.918145526753
0.93,0.7,2020-02-04,0.34,41.6610278681802
0.94,0.7,2020-02-04,0.34,40.9736624908241
0.95,0.7,2020-02-04,0.34,40.7979451894981
0.55,0.75,2020-02-04,0.34,630.884570225525
0.56,0.75,2020-02-04,0.34,600.221140243042
0.57,0.75,2020-02-04,0.34,570.534054882471
0.58,0.75,2020-02-04,0.34,541.79542807782
0.59,0.75,2020-02-04,0.34,513.978171328954
0.6,0.75,2020-02-04,0.34,487.05607967301
0.61,0.75,2020-02-04,0.34,461.003824788175
0.62,0.75,2020-02-04,0.34,435.797018275156
0.63,0.75,2020-02-04,0.34,411.412241537364
0.64,0.75,2020-02-04,0.34,387.827121988819
0.65,0.75,2020-02-04,0.34,365.020403594964
0.66,0.75,2020-02-04,0.34,342.972030500095
0.67,0.75,2020-02-04,0.34,321.663294867529
0.68,0.75,2020-02-04,0.34,301.076974150996
0.69,0.75,2020-02-04,0.34,281.197558981838
0.7,0.75,2020-02-04,0.34,262.011471003436
0.71,0.75,2020-02-04,0.34,243.507498096814
0.72,0.75,2020-02-04,0.34,225.677231115497
0.73,0.75,2020-02-04,0.34,208.515742844992
0.74,0.75,2020-02-04,0.34,192.022415619098
0.75,0.75,2020-02-04,0.34,176.221080561818
0.76,0.75,2020-02-04,0.34,161.266613483676
0.77,0.75,2020-02-04,0.34,147.307571355937
0.78,0.75,2020-02-04,0.34,134.386566148064
0.79,0.75,2020-02-04,0.34,122.480394520566
0.8,0.75,2020-02-04,0.34,111.548604834605
0.81,0.75,2020-02-04,0.34,101.559100879673
0.82,0.75,2020-02-04,0.34,92.4664988511846
0.83,0.75,2020-02-04,0.34,84.2213404777346
0.84,0.75,2020-02-04,0.34,76.7777727074374
0.85,0.75,2020-02-04,0.34,70.096297543189
0.86,0.75,2020-02-04,0.34,64.1457648595192
0.87,0.75,2020-02-04,0.34,58.9043594422119
0.88,0.75,2020-02-04,0.34,54.3572770078796
0.89,0.75,2020-02-04,0.34,50.4951115065257
0.9,0.75,2020-02-04,0.34,47.3099466796556
0.91,0.75,2020-02-04,0.34,44.7906566341869
0.92,0.75,2020-02-04,0.34,42.918145526753
0.93,0.75,2020-02-04,0.34,41.6610278681802
0.94,0.75,2020-02-04,0.34,40.9736624908241
0.95,0.75,2020-02-04,0.34,40.7979451894981
